date,sector,exchange,averageChange
2026-01-28,Communication Services,NASDAQ,-0.5643126333296111
2026-01-27,Communication Services,NASDAQ,-0.9570190349622698
2026-01-26,Communication Services,NASDAQ,-0.14187706244765952
2026-01-23,Communication Services,NASDAQ,1.07379331941726
2026-01-22,Communication Services,NASDAQ,-0.2860791101066851
2026-01-21,Communication Services,NASDAQ,1.4568659449022414
2026-01-20,Communication Services,NASDAQ,-0.5225805029320019
2026-01-19,Communication Services,NASDAQ,-1.1505491893627595
2026-01-16,Communication Services,NASDAQ,-1.1706764142396353
2026-01-15,Communication Services,NASDAQ,-1.0077232769673872
2026-01-14,Communication Services,NASDAQ,-0.43112179908494364
2026-01-13,Communication Services,NASDAQ,-0.7182662748174584
2026-01-12,Communication Services,NASDAQ,0.019126545232639458
2026-01-09,Communication Services,NASDAQ,-0.061802557587142815
2026-01-08,Communication Services,NASDAQ,0.1463563173032867
2026-01-07,Communication Services,NASDAQ,-0.5956640351649112
2026-01-06,Communication Services,NASDAQ,-0.4140025751749987
2026-01-05,Communication Services,NASDAQ,1.1706549377875852
2026-01-02,Communication Services,NASDAQ,-1.6717962993153757
2026-01-01,Communication Services,NASDAQ,-0.13641043321001023
2025-12-31,Communication Services,NASDAQ,-0.13635739094087773
2025-12-30,Communication Services,NASDAQ,0.23491961924464455
2025-12-29,Communication Services,NASDAQ,0.35057474237518704
2025-12-26,Communication Services,NASDAQ,0.6977435221070305
2025-12-25,Communication Services,NASDAQ,0.5111150153532362
2025-12-24,Communication Services,NASDAQ,0.5062471980764149
2025-12-23,Communication Services,NASDAQ,0.29528224294632643
2025-12-22,Communication Services,NASDAQ,-0.41689875814868715
2025-12-19,Communication Services,NASDAQ,-0.05563791250852157
2025-12-18,Communication Services,NASDAQ,0.17217195579932731
2025-12-17,Communication Services,NASDAQ,-0.8169834798576248
2025-12-16,Communication Services,NASDAQ,0.547894604652921
2025-12-15,Communication Services,NASDAQ,-0.7822106909107673
2025-12-12,Communication Services,NASDAQ,-0.273477116416998
2025-12-11,Communication Services,NASDAQ,0.3816811796089947
2025-12-10,Communication Services,NASDAQ,-2.3633552205309605
2025-12-09,Communication Services,NASDAQ,-0.16642653926313145
2025-12-08,Communication Services,NASDAQ,-1.5612215217361114
2025-12-05,Communication Services,NASDAQ,1.0499608917873937
2025-12-04,Communication Services,NASDAQ,-0.12743203489823385
2025-12-03,Communication Services,NASDAQ,-0.3115047175899943
2025-12-02,Communication Services,NASDAQ,1.0360066828019043
2025-12-01,Communication Services,NASDAQ,0.7066493078625502
2025-11-28,Communication Services,NASDAQ,0.7998125692106894
2025-11-27,Communication Services,NASDAQ,0.26584996670773187
2025-11-26,Communication Services,NASDAQ,0.2658208353331304
2025-11-25,Communication Services,NASDAQ,-0.1464724895712255
2025-11-24,Communication Services,NASDAQ,0.5388335727788185
2025-11-21,Communication Services,NASDAQ,0.6048642703311513
2025-11-20,Communication Services,NASDAQ,-3.171983493573105
2025-11-19,Communication Services,NASDAQ,-1.9938201078407158
2025-11-18,Communication Services,NASDAQ,0.9688486724775291
2025-11-17,Communication Services,NASDAQ,-0.133183563492989
2025-11-14,Communication Services,NASDAQ,-2.2152358155632768
2025-11-13,Communication Services,NASDAQ,-0.3798685429822757
2025-11-12,Communication Services,NASDAQ,1.3800725825035665
2025-11-11,Communication Services,NASDAQ,1.3975546753312917
2025-11-10,Communication Services,NASDAQ,0.8923667626468124
2025-11-07,Communication Services,NASDAQ,1.0561488732408586
2025-11-06,Communication Services,NASDAQ,-0.16273816763170412
2025-11-05,Communication Services,NASDAQ,0.9848463350464298
2025-11-04,Communication Services,NASDAQ,-0.3510308927516803
2025-11-03,Communication Services,NASDAQ,-2.9687748110163725
2025-10-31,Communication Services,NASDAQ,1.1462624817195843
2025-10-30,Communication Services,NASDAQ,-0.6379324816676579
2025-10-29,Communication Services,NASDAQ,-0.13009825939889197
2025-10-28,Communication Services,NASDAQ,0.6182596396723472
2025-10-27,Communication Services,NASDAQ,-0.3107761168945511
2025-10-24,Communication Services,NASDAQ,-1.2556405066733278
2025-10-23,Communication Services,NASDAQ,-1.1010143121283122
2025-10-22,Communication Services,NASDAQ,-2.053682756347952
2025-10-21,Communication Services,NASDAQ,-0.12661092798572637
2025-10-20,Communication Services,NASDAQ,2.1563524761135877
2025-10-17,Communication Services,NASDAQ,1.1686271535765291
2025-10-16,Communication Services,NASDAQ,-2.366782461868322
2025-10-15,Communication Services,NASDAQ,-0.7933760897531172
2025-10-14,Communication Services,NASDAQ,0.05039585563135773
2025-10-13,Communication Services,NASDAQ,0.5354710962262921
2025-10-10,Communication Services,NASDAQ,-2.4046208542343517
2025-10-09,Communication Services,NASDAQ,0.973172412540313
2025-10-08,Communication Services,NASDAQ,0.5677245162184263
2025-10-07,Communication Services,NASDAQ,-0.3267902722871585
2025-10-06,Communication Services,NASDAQ,1.3522126822069103
2025-10-03,Communication Services,NASDAQ,-1.3342328998894093
2025-10-02,Communication Services,NASDAQ,0.3241905412965318
2025-10-01,Communication Services,NASDAQ,-0.5137181837973293
2025-09-30,Communication Services,NASDAQ,-0.5933597257869239
2025-09-29,Communication Services,NASDAQ,-0.6766108488007294
2025-09-26,Communication Services,NASDAQ,-0.3640760716150382
2025-09-25,Communication Services,NASDAQ,-0.02881791986079074
2025-09-24,Communication Services,NASDAQ,-0.5596257428839624
2025-09-23,Communication Services,NASDAQ,-1.1718225286193262
2025-09-22,Communication Services,NASDAQ,-1.0973744610031644
2025-09-19,Communication Services,NASDAQ,-0.2683447845890585
2025-09-18,Communication Services,NASDAQ,-0.1734177634079348
